fiberlookup_initial,fiberlookup_latency,fiberlookup_stop_latency,fiberlookup_starting,bump,stop_bump,done_bump,empty_bump,fiberlookup_ii,fiberlookup_factor,diff1,diff2,diff3,diff4,diff5,diff6,diff7,diff8,timestamp
288,371,363,36,341,202,274,216,1,0.6676416397094727,585,1043,1607,1335,1267,703,1355,1156,1323
50,133,41,55,300,345,330,171,1,0.6541489362716675,109,91,417,383,315,11,165,204,1336
8,187,283,90,232,148,375,177,2,0.10093414783477783,323,58,376,371,282,33,112,732,1349
46,137,24,41,44,345,196,351,1,0.9269866943359375,109,83,405,375,307,15,153,196,1364
343,168,345,49,103,59,196,261,2,1.877399206161499,639,1044,1697,1357,1268,618,1433,1718,1379
40,54,145,98,23,83,238,139,3,0.2955045700073242,424,60,444,394,284,94,168,1295,1392
16,149,278,71,150,148,355,245,4,1.362545132637024,697,122,516,477,346,39,228,1918,1405
133,210,373,49,121,66,298,387,4,1.204772710800171,875,534,1045,889,758,256,757,2330,1416
49,137,210,62,49,264,362,382,2,1.4336276054382324,314,131,490,444,355,1,226,805,1428
65,8,354,11,372,345,29,110,2,1.6935433149337769,201,50,425,363,274,98,161,724,1442
170,94,246,99,207,293,102,2,2,1.747207522392273,392,451,931,764,675,198,667,1125,1454
140,242,223,24,0,264,119,51,2,1.6477631330490112,510,509,959,822,733,286,695,1183,1466
288,128,35,97,262,353,395,312,4,1.0930283069610596,948,917,1583,1272,1141,484,1295,2713,1478
192,290,19,84,365,260,190,114,3,1.85012686252594,812,752,1288,1086,976,446,1012,1987,1489
118,63,375,31,240,312,367,157,1,0.0939786434173584,107,225,619,517,449,55,367,338,1502
16,388,247,49,83,202,174,49,4,1.2079713344573975,936,361,755,716,585,200,467,2157,1516
195,44,317,87,145,16,51,252,4,0.15095269680023193,771,554,1127,909,778,214,839,2350,1528
268,46,247,23,336,64,400,350,3,1.7685850858688354,644,736,1348,1070,960,354,1072,1971,1540
320,113,114,100,149,301,197,25,2,1.187129020690918,561,920,1550,1233,1144,517,1286,1594,1552
230,19,24,38,152,46,50,216,2,1.8653059005737305,377,556,1096,869,780,243,832,1230,1564
310,282,344,36,205,210,151,332,1,0.20942473411560059,518,1020,1606,1312,1244,658,1354,1133,1575
396,259,298,55,148,379,184,222,2,0.9927626848220825,783,1294,2000,1607,1518,815,1736,1968,1587
275,267,8,32,82,196,186,34,3,0.3368300199508667,872,978,1597,1312,1202,589,1321,2213,1600
268,311,380,12,373,155,320,90,2,1.3016557693481445,707,962,1540,1275,1186,611,1276,1636,1611
103,388,101,31,346,312,365,81,1,0.47265303134918213,417,505,884,797,729,350,632,618,1623
347,123,365,6,21,12,119,91,3,0.8191303014755249,800,1050,1741,1384,1274,589,1465,2285,1635
103,208,116,76,269,367,379,97,2,0.6455683708190918,439,364,777,677,588,178,513,1038,1647
248,359,332,40,317,100,237,188,4,1.0327746868133545,1139,1028,1654,1383,1252,635,1366,2824,1659
202,281,54,61,120,65,356,67,3,1.3210124969482422,813,773,1319,1107,997,457,1043,2008,1671
38,373,378,11,61,293,36,339,2,0.08223402500152588,539,334,682,647,558,213,418,1008,1683
344,32,311,21,174,78,109,33,2,0.2211371660232544,504,911,1565,1224,1135,484,1301,1585,1694
153,44,106,9,357,80,11,277,4,1.2189903259277344,729,428,959,783,652,130,671,2224,1706
44,339,9,83,14,286,239,384,4,1.44844651222229,915,396,818,751,620,207,530,2192,1719
166,5,372,1,200,58,186,29,4,0.5974340438842773,703,428,972,783,652,117,684,2224,1731
314,280,331,71,181,391,142,0,3,0.07689845561981201,924,1108,1766,1442,1332,680,1490,2343,1743
272,277,282,67,123,236,182,185,2,1.8752471208572388,677,940,1522,1253,1164,585,1258,1614,1755
277,314,238,27,336,393,393,221,1,1.197829008102417,517,953,1506,1245,1177,624,1254,1066,1768
270,368,166,22,56,26,371,318,3,0.32842063903808594,968,1064,1678,1398,1288,680,1402,2299,1780
375,105,197,49,122,132,69,229,2,1.2772654294967651,608,1077,1762,1390,1301,619,1498,1751,1792
320,231,66,6,329,309,96,56,4,1.7019407749176025,1083,1116,1814,1471,1340,651,1526,2912,1804
74,386,234,51,329,370,44,156,4,0.6229857206344604,992,533,985,888,757,314,697,2329,1816
15,393,250,61,173,210,296,101,1,0.16840124130249023,334,246,537,538,470,179,285,359,1828
280,55,254,13,340,193,202,1,3,0.8892016410827637,665,781,1405,1115,1005,387,1129,2016,1840
33,161,214,49,223,41,65,349,2,0.9649569988250732,322,107,450,420,331,9,186,781,1853
268,183,87,24,357,285,131,199,4,1.2906712293624878,983,912,1558,1267,1136,499,1270,2708,1865
110,166,200,75,18,389,116,72,3,1.8662587404251099,606,382,836,716,606,158,560,1617,1879
251,59,276,20,8,331,184,111,2,0.5416685342788696,438,659,1220,972,883,325,956,1333,1892
108,333,36,13,345,107,371,303,2,1.621924877166748,569,504,922,817,728,313,658,1178,1904
3,161,341,39,116,186,37,40,4,1.5721418857574463,696,95,476,450,319,53,188,1891,1916
359,384,241,20,216,173,383,121,4,1.4086555242538452,1275,1386,2123,1741,1610,882,1835,3182,1929
28,308,67,9,118,201,169,257,4,1.6657311916351318,868,317,723,672,541,144,435,2113,1941
339,98,384,34,189,235,152,321,3,0.33512914180755615,767,1001,1684,1335,1225,548,1408,2236,1954
262,4,324,81,302,67,17,234,1,0.20244741439819336,192,598,1136,890,822,284,884,711,1968
147,324,81,42,41,203,372,218,1,0.20574569702148438,397,573,996,865,797,374,744,686,1981
389,59,36,2,101,280,60,79,4,1.0317127704620361,980,1151,1918,1506,1375,617,1630,2947,1994
117,106,336,70,211,325,248,172,1,1.2218585014343262,149,265,658,557,489,96,406,378,2006
148,123,252,94,186,76,305,199,3,0.8179470300674438,601,453,945,787,677,191,669,1688,2018
313,110,275,95,288,68,202,56,2,1.7865877151489258,551,896,1519,1209,1120,500,1255,1570,2031
386,51,301,93,184,369,92,329,3,0.9156395196914673,767,1095,1825,1429,1319,595,1549,2330,2042
85,370,2,9,175,193,347,330,3,1.2631443738937378,785,511,940,845,735,312,664,1746,2054
54,229,356,74,172,16,194,325,3,1.13412606716156,613,277,675,611,501,109,399,1512,2066
108,309,204,66,368,338,327,177,3,0.37054920196533203,747,519,971,853,743,297,695,1754,2079
