fiberlookup_initial,fiberlookup_latency,fiberlookup_stop_latency,fiberlookup_miss_latency,fiberlookup_starting,incr_type,fiberlookup_ii,fiberlookup_numerator_factor,fiberlookup_denominator_factor,diff1,diff2,diff3,diff4,diff5,diff6,diff7,diff8,diff9,diff10,timestamp
0,2,7,70,1,0,1,136,86,2.0,373.0,372.0,72.0,286.0,230.0,186.0,65.0,256.0,370.0,4411
0,2,7,63,1,0,1,144,95,2.0,353.0,352.0,61.0,265.0,216.0,173.0,58.0,236.0,350.0,4447
0,2,18,86,1,0,2,144,87,4.0,604.0,602.0,126.0,396.0,928.0,220.0,86.0,362.0,800.0,4483
3,2,7,70,1,0,1,146,84,3.0,407.0,406.0,93.0,314.0,285.0,202.0,73.0,284.0,407.0,4518
0,2,7,70,1,0,9,144,86,48.0,1991.0,1982.0,336.0,863.0,5626.0,289.0,107.0,807.0,3581.0,4553
27,46,99,27,25,0,3,178,29,146.0,1726.0,1728.0,577.0,966.0,2478.0,627.0,176.0,876.0,2142.0,4588
11,29,96,31,175,0,6,188,1,1917.0,39187.0,39192.0,14948.0,19989.0,25013.0,16244.0,1937.0,16604.0,39999.0,4621
3,2,20,78,14,0,1,128,86,13.0,377.0,376.0,95.0,317.0,277.0,202.0,91.0,292.0,378.0,4663
0,1,7,70,10,0,1,135,86,6.0,379.0,378.0,80.0,293.0,238.0,193.0,74.0,263.0,377.0,4703
0,2,7,67,25,0,1,144,86,24.0,412.0,411.0,101.0,313.0,263.0,214.0,88.0,281.0,410.0,4739
0,16,7,66,1,0,1,144,82,14.0,404.0,403.0,82.0,296.0,247.0,196.0,63.0,262.0,401.0,4775
0,10,29,70,1,0,1,144,86,8.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,4810
0,2,7,70,13,0,1,144,86,12.0,403.0,402.0,92.0,307.0,254.0,205.0,79.0,275.0,401.0,4846
2,49,55,70,142,2,8,107,94,226.0,1826.0,1833.0,409.0,886.0,5072.0,374.0,241.0,844.0,3219.0,4879
0,1,7,70,1,0,1,160,86,0.0,429.0,428.0,94.0,315.0,262.0,210.0,68.0,280.0,426.0,4913
43,10,97,37,53,0,7,61,58,133.0,1528.0,1525.0,371.0,815.0,4829.0,275.0,196.0,820.0,2763.0,4947
0,2,30,70,1,0,8,144,86,42.0,1791.0,1783.0,304.0,792.0,4953.0,277.0,102.0,739.0,3182.0,4982
0,2,2,69,1,0,1,144,100,3.0,342.0,341.0,60.0,270.0,214.0,173.0,63.0,242.0,340.0,5020
0,2,7,83,1,0,1,162,92,0.0,422.0,421.0,100.0,331.0,264.0,214.0,80.0,297.0,419.0,5056
3,2,7,70,1,0,2,167,78,12.0,689.0,687.0,157.0,426.0,1003.0,247.0,81.0,385.0,888.0,5091
0,2,7,70,1,0,1,149,86,0.0,403.0,402.0,84.0,302.0,248.0,199.0,67.0,269.0,400.0,5125
0,0,16,70,1,0,1,144,88,3.0,384.0,383.0,77.0,292.0,236.0,190.0,65.0,260.0,381.0,5159
9,39,81,23,30,1,1,132,17,129.0,1628.0,1628.0,580.0,910.0,1079.0,718.0,137.0,777.0,1629.0,5191
0,8,7,82,0,0,1,144,86,5.0,402.0,401.0,91.0,318.0,253.0,204.0,78.0,286.0,400.0,5226
1,2,7,70,1,0,2,115,86,4.0,524.0,522.0,88.0,336.0,889.0,178.0,71.0,308.0,722.0,5259
9,22,84,68,15,2,4,157,13,154.0,3114.0,3110.0,1026.0,1626.0,3585.0,1134.0,205.0,1406.0,3707.0,5294
24,2,7,70,1,0,1,144,86,24.0,415.0,414.0,152.0,391.0,530.0,217.0,115.0,383.0,437.0,5327
0,2,13,70,4,0,1,144,86,3.0,394.0,393.0,83.0,298.0,245.0,196.0,70.0,266.0,392.0,5361
0,2,16,70,3,0,1,144,86,2.0,393.0,392.0,82.0,297.0,244.0,195.0,69.0,265.0,391.0,5400
0,2,18,84,1,0,1,134,89,2.0,372.0,371.0,81.0,306.0,236.0,193.0,79.0,277.0,369.0,5437
24,50,64,28,166,2,1,157,86,237.0,591.0,591.0,308.0,510.0,706.0,375.0,260.0,499.0,612.0,5470
0,3,7,70,0,0,1,144,87,2.0,387.0,386.0,77.0,292.0,238.0,191.0,64.0,261.0,384.0,5505
0,2,13,59,1,0,1,139,86,2.0,369.0,368.0,64.0,268.0,223.0,178.0,54.0,237.0,366.0,5540
2,5,7,70,3,0,1,144,98,4.0,353.0,352.0,71.0,285.0,244.0,180.0,70.0,258.0,353.0,5575
36,2,7,70,1,0,1,144,60,42.0,573.0,572.0,244.0,514.0,755.0,291.0,145.0,505.0,606.0,5611
43,21,47,59,103,1,5,111,88,183.0,1242.0,1237.0,396.0,789.0,3498.0,340.0,259.0,795.0,2079.0,5648
0,1,7,82,1,0,1,150,89,1.0,406.0,405.0,92.0,320.0,255.0,206.0,79.0,288.0,403.0,5686
0,2,4,70,1,0,2,144,94,4.0,563.0,561.0,101.0,352.0,898.0,193.0,70.0,319.0,759.0,5727
41,19,46,22,72,0,8,76,30,178.0,2047.0,2054.0,528.0,1031.0,5617.0,425.0,232.0,1010.0,3471.0,5761
0,6,7,74,13,0,1,144,86,16.0,407.0,406.0,96.0,315.0,258.0,209.0,83.0,283.0,405.0,5796
5,3,7,70,1,0,1,128,86,3.0,358.0,357.0,80.0,296.0,280.0,183.0,74.0,273.0,361.0,5834
0,4,6,70,4,0,1,144,79,5.0,424.0,423.0,94.0,313.0,261.0,209.0,70.0,279.0,421.0,5870
